name,status,description,start_date,end_date,requirements,funding,contact,url
Développement d'une industrie de la santé compétitive.,open,"L'appel à projet vise à encourager le développement d'une industrie de la santé compétitive dans le cadre du programme Horizon Europe. Le budget alloué aux différents topics est de 10 millions d'euros et 2 millions d'euros. Différentes catégories de projets sont éligibles, dont la recherche basique et appliquée, le développement de technologies, les essais en laboratoire et les projets pilotes. Les bénéficiaires attendus sont des projets collaboratifs ou mono-bénéficiaires, ainsi que des individus physiques. Les deux topics spécifiques concernent le développement de cadres méthodologiques pour l'évaluation clinique des dispositifs médicaux et l'acquisition d'expérience dans les essais réglementaires de sécurité et d'efficacité.",NA,14 April 2024,"- Encourager le développement d'une industrie compétitive dans le domaine de la santé
- Budget : 10 millions d'euros pour le topic HORIZON-HLTH-2024-IND-06-08, 2 millions d'euros pour le topic HORIZON-HLTH-2024-IND-06-09
- Différentes catégories de projets éligibles : RIA (Recherche basique et appliquée / Développement et adoption de technologies / Essai et validation d'un prototype en laboratoire), IA (Prototypes, tests, démonstrations, projets pilotes, placement sur le marché), CSA (Réseautage, études & conférences, communication, études pour de nouvelles infrastructures de recherche), MSCA (Réseaux de formation pour les chercheurs, Bourses individuelles pour les chercheurs expérimentés, Echange de personnels – mobilité pour les chercheurs et le personnel non scientifique)
- Bénéficiaires attendus : Projets collaboratifs, projets mono-bénéficiaires, bourses individuelles
- Topics : HORIZON-HLTH-2024-IND-06-08 (Développement de cadres méthodologiques européens pour l'évaluation clinique et le suivi clinique après la mise sur le marché des dispositifs médicaux) et HORIZON-HLTH-2024-IND-06-09 (Acquérir de l'expérience et de la confiance dans les méthodologies de la nouvelle approche (NAM) pour les essais réglementaires de sécurité et d'efficacité)",12,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/encourager-le-developpement-dune-industrie-de-la-sante-competitive
Réduire les inégalités de santé,open,"Cet appel à projet vise à réduire les inégalités de santé dans l'Union européenne. Il s'inscrit dans le cadre du programme Horizon Europe et concerne la thématique de l'innovation en santé. Le budget alloué à chaque topic varie entre 30 et 50 millions d'euros. Différentes catégories de projets sont éligibles, notamment la recherche basique et appliquée, le développement de technologies, les essais en laboratoire, les prototypes, les tests et démonstrations, ainsi que les actions de coordination et de soutien. Les bénéficiaires attendus peuvent être des projets collaboratifs, mono-bénéficiaires ou des bourses individuelles. Deux topics sont mentionnés dans l'appel à projet : ""Vers un soutien holistique à la santé et aux soins des enfants et des adolescents dans une société de plus en plus numérique"" et ""Prévention personnalisée des maladies non transmissibles - répondre aux besoins non satisfaits en utilisant des sources de données multiples"". Le lien vers les fichiers attachés du projet est également fourni.",NA,11 April 2024,"- Réduire les inégalités de santé
- Soutien holistique à la santé et aux soins des enfants et des adolescents dans une société de plus en plus numérique
- Prévention personnalisée des maladies non transmissibles en utilisant des sources de données multiples
- Budget : 30 millions d'euros pour le premier topic, 50 millions d'euros pour le deuxième topic
- Différentes catégories de projets éligibles : RIA, IA, CSA, MSCA
- Bénéficiaires attendus : projets collaboratifs (consortium), projets mono-bénéficiaires, bourses individuelles",3.02024010250202E+019,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/reduire-les-inegalites-de-sante
Lutter contre la résistance aux antimicrobiens,open,"Cet appel à projet vise à promouvoir des actions de lutte contre la résistance aux antimicrobiens dans le cadre du programme Horizon Europe. Le budget alloué pour ce projet est de 100 millions d'euros. Différentes catégories de projets sont éligibles, telles que la recherche basique et appliquée, le développement de technologies, les tests de prototypes en laboratoire, les projets pilotes, etc. Les bénéficiaires peuvent être des projets collaboratifs, des projets mono-bénéficiaires ou des bourses individuelles. Un partenariat européen pour la résistance aux antimicrobiens est également prévu dans le cadre de cet appel à projet.",NA,11 April 2024,"- The project should aim to address the issue of antimicrobial resistance.
- The project should be directly related to one of the topics listed in the call for proposals.
- Eligible project categories include Research and Innovation Actions, Innovation Actions, Coordination and Support Actions, and Marie Skłodowska-Curie Actions/ERC Grants.
- The call specifies that collaborative projects with a coordinator and partners, single-beneficiary projects, and individual grants are expected.
- The budget for the specific topic ""HORIZON-HLTH-2024-DISEASE-09-01"" is 100 million euros.
- The deadline for submitting proposals is April 11, 2024.",100,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/lutter-contre-la-resistance-aux-antimicrobiens
Innover en matière d'outils et de stratégies non animales basées sur l'homme pour la recherche biomédicale.,open,"L'appel à projet vise à innover dans la recherche biomédicale en développant des outils et des stratégies non animales basées sur l'homme. Le budget alloué à ce projet est de 25 millions d'euros. Différentes catégories de projets sont éligibles, notamment la recherche basique et appliquée, le développement et l'adoption de technologies, ainsi que les essais et la validation de prototypes en laboratoire. Les bénéficiaires attendus sont des projets collaboratifs ou mono-bénéficiaires, ainsi que des bourses individuelles. Le topic précis de cet appel à projet n'est pas mentionné.",NA,11 April 2024,"- Develop innovative tools and strategies for biomedical research that are non-animal based and human-focused.
- Topic: HORIZON-HLTH-2024-TOOL-11-02
- Project must be directly related to a topic in a call for proposals.
- Eligible project categories include RIA, IA, CSA, MSCA.
- Expected beneficiaries can be collaborative projects, single beneficiary projects, or individual fellowships.
- Budget for the topic: 25 million euros.",25,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/innover-en-matiere-doutils-et-de-strategies-non-animales-basees-sur-lhomme-pour-la
Développer des outils et des stratégies dans des domaines critiques de la recherche biomédicale,NA,"L'appel à projet vise à développer des outils et des stratégies dans des domaines critiques de la recherche biomédicale. Le budget attribué à ce projet est de 25 millions d'euros. Différentes catégories de projets sont éligibles, comme la recherche basique et appliquée, le développement et l'adoption de technologies, les essais et la validation de prototypes en laboratoire. Les bénéficiaires attendus peuvent être des projets collaboratifs avec un consortium de partenaires, des projets mono-bénéficiaires impliquant une seule organisation, ou des bourses individuelles pour des chercheurs. Le topic spécifique de cet appel à projet concerne les outils et les stratégies innovants basés sur l'homme et non sur l'animal pour la recherche biomédicale.",NA,NA,"- The project should develop tools and strategies in critical areas of biomedical research.
- The budget for the project is 25 million euros.
- The project should be directly related to a specific topic of a call for proposals.
- Different types of projects are eligible, including research and innovation actions, innovation actions, coordination and support actions, and Marie Skłodowska-Curie actions.
- The expected beneficiaries can be collaborative projects, single-beneficiary projects, or individual grants.
- The specific topic of the project is ""Innovative tools and strategies based on humans and not on animals for biomedical research.""",25,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-des-outils-et-des-strategies-dans-des-domaines-critiques-de-la-recherche
Lutte contre les maladies,open,"L'appel à projet Horizon Europe - Lutte contre les maladies (étape unique - 2024) vise à maintenir un cadre consolidé de recherche et d'innovation pour le partenariat européen pour la préparation à une pandémie. Le budget alloué est de 50 millions d'euros pour le topic HORIZON-HLTH-2024-DISEASE-08-20 et de 2 millions d'euros pour le topic HORIZON-HLTH-2024-DISEASE-08-12. Différentes catégories de projets sont éligibles, telles que les RIA, les IA, les CSA et les MSCA. Les projets peuvent être collaboratifs ou mono-bénéficiaires, et des bourses individuelles sont également disponibles. Les détails des topics seront annoncés ultérieurement.",NA,11 April 2024,"- Horizon Europe - Lutte contre les maladies (étape unique - 2024)
- Maintenir un cadre consolidé de recherche et d'innovation pour le partenariat européen pour la préparation à une pandémie
- Objectifs, gouvernance et méthodes de travail/opérationnalisation du partenariat
- Budget : 50 millions d'euros pour le topic HORIZON-HLTH-2024-DISEASE-08-20 et 2 millions d'euros pour le topic HORIZON-HLTH-2024-DISEASE-08-12
- Catégories de projets éligibles : RIA, IA, CSA, MSCA
- Bénéficiaires attendus : projets collaboratifs, projets mono-bénéficiaires, bourses individuelles",52,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/lutter-contre-les-maladies-0
"Horizon Europe - Garantir l'accès à des soins de santé innovants, durables et de qualité",open,"Horizon Europe - Garantir l'accès à des soins de santé innovants, durables et de qualité, en vue de développer un accès de qualité et fondé sur les besoins aux services de santé et de soins.",NA,11 April 2024,"- Garantir l'accès à des soins de santé innovants, durables et de qualité
- Développer un accès de qualité et fondé sur les besoins aux services de santé et de soins
- Montant du projet: 30 millions d'euros
- Topic: Accès aux services de santé et de soins pour les personnes en situation de vulnérabilité
- Différentes catégories de projets éligibles: RIA, IA, CSA, MSCA
- Bénéficiaires attendus: projets collaboratifs, projets mono-bénéficiaires, bourses individuelles",30,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/horizon-europe-garantir-lacces-des-soins-de-sante-innovants-durables-et-de-qualite
Horizon Europe - Environnement et santé (deux étapes - 2024),open,"Horizon Europe - Environnement et santé (deux étapes - 2024) visant à soutenir les activités qui permettent ou contribuent à un ou plusieurs impacts attendus de la destination 2 ""Vivre et travailler dans un environnement favorable à la santé"".",NA,11 April 2024,"- The project should support activities that contribute to creating a healthy environment.
- The project should be directly related to a specific topic in a call for proposals.
- Different types of projects are eligible, including research and innovation actions, innovation actions, coordination and support actions, and Marie Skłodowska-Curie actions.
- The expected beneficiaries can be collaborative projects with a coordinator and partners, single-beneficiary projects, or individual scholarships.
- The specific topic for this call is the role of pollution in non-communicable diseases, including air, noise, light, and hazardous waste pollution.",60,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/soutenir-les-activites-qui-permettent-ou-contribuent-construire-un-environnement
"Horizon Europe - Utilisation efficace, durable et inclusive de l'énergie visant à utiliser les technologies disponibles pertinentes pour réduire les écarts de qualité entre la fabrication hors site et le déploiement sur site de modules préfabriqués.",open,"Horizon Europe is launching a call for projects on the efficient, sustainable, and inclusive use of energy. The aim is to use relevant available technologies to reduce the quality gaps between off-site manufacturing and on-site deployment of prefab modules. The budget for each topic is specified, and different types of projects (RIA, IA, CSA, MSCA) and beneficiaries (collaborative projects, single beneficiaries, individual grants) are eligible. The topics include low-disruption renovation processes, alternative heating systems for efficient heat production in industry, and smart buildings ready for the electrical grid.",NA,18 April 2024,"- Utilisation efficace, durable et inclusive de l'énergie
- Réduction des écarts de qualité entre la fabrication hors site et le déploiement sur site de modules préfabriqués
- Processus de rénovation à faible perturbation par l'intégration de solutions préfabriquées pour des bâtiments à haut rendement énergétique
- Systèmes de chauffage alternatifs pour une production de chaleur efficace, flexible et électrifiée dans l'industrie
- Bâtiments intelligents prêts pour le réseau électrique",NaN,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/horizon-europe-utilisation-efficace-durable-et-inclusive-de-lenergie-2024
Horizon Europe - Solutions intersectorielles pour la transition climatique - 2024,open,"Horizon Europe is launching a call for projects on Intersectoral Solutions for Climate Transition, specifically focusing on integrating renewable energies and providing energy storage solutions. The budget for the project is divided into four topics, with amounts ranging from 5 million to 21 million euros. The call for proposals is open to different categories of projects, including research and innovation actions, innovation actions, coordination and support actions, and Marie Skłodowska-Curie Actions/ERC Grants. The specific topics for the call are: advanced sustainable pre-treatment technologies for recycling end-of-life batteries, sustainable non-lithium batteries with European supply chains for stationary storage, development of technical and commercial solutions to optimize the circularity, resilience, and sustainability of the European battery value chain, and emerging energy technologies for a climate neutral Europe.",NA,18 April 2024,"- Develop advanced and sustainable pre-treatment technologies for recycling end-of-life batteries
- Develop non-lithium sustainable batteries with European supply chains for stationary storage
- Optimize the circularity, resilience, and sustainability of the European battery value chain
- Develop emerging energy technologies for a climate-neutral Europe",NaN,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/horizon-europe-solutions-intersectorielles-pour-la-transition-climatique-2024
Connecter les écosystèmes locaux de start-up numériques et de deep tech et soutenir les activités d'accélération transfrontalières pour les start-ups.,open,"Cet appel à projet vise à connecter les écosystèmes locaux de start-up numériques et de deep tech et à soutenir les activités d'accélération transfrontalières pour les start-ups. Des financements sont disponibles dans différentes catégories de projets, telles que la recherche basique et appliquée, le développement de technologies, les essais en laboratoire, les prototypes, les tests, les démonstrations, etc. Les appels précisent également les bénéficiaires attendus, tels que les projets collaboratifs, les projets mono-bénéficiaires et les bourses individuelles. Le budget pour cet appel varie selon les différents sujets.",NA,25 April 2024,"- Connecter les écosystèmes locaux de start-up numériques et de deep tech
- Soutenir les activités d'accélération transfrontalières pour les start-ups
- Budget par topic : 2.5 millions d'euros, 12 millions d'euros, 55 millions d'euros
- Différentes catégories de projets éligibles : RIA, IA, CSA, MSCA
- Les appels précisent les bénéficiaires attendus : projets collaboratifs, projets mono-bénéficiaires, bourses individuelles.",202401023,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/connecter-les-ecosystemes-locaux-de-start-numeriques-et-de-deep-tech-et-soutenir-les
Faciliter la coopération transnationale entre les points de contact nationaux (PCN) pour les MSCA,open,"Le projet vise à faciliter la coopération transnationale entre les points de contact nationaux (PCN) pour les actions Marie Sklodowska-Curie (MSCA) dans le cadre du programme Horizon Europe. Il est doté d'un budget de 2 millions d'euros. Différentes catégories de projets sont éligibles, notamment la recherche basique et appliquée, le développement et adoption de technologies, les essais et validations de prototypes en laboratoire, les projets pilotes et les réseaux de formation pour les chercheurs. Les modalités de participation varient en fonction du type de projet.",NA,04 September 2024,"- Facilitate transnational cooperation between national contact points (PCN) for MSCA.
- The project should be directly related to a specific topic of a call for proposals.
- Different categories of projects are eligible, including research and innovation actions, innovation actions, coordination and support actions, and Marie Skłodowska-Curie actions.
- The beneficiaries can be collaborative projects, single-beneficiary projects, or individual fellowships.
- The project is eligible for a funding of 2 million euros.
- The deadline for response is September 4, 2024.",2,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/faciliter-la-cooperation-transnationale-entre-les-points-de-contact-nationaux-pcn
